When: 2025-11-06 11:08:11 Episode: 1 Map: 11
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:15:09	 14702	 4514	3516	32	 95.98	 -1	0 	0
2025-11-06 11:15:21	 15139	 4514	3516	32	 341.72	 -5	1 	0
2025-11-06 11:15:22	 15174	 4514	3516	32	 341.72	 7	-3 	0
2025-11-06 11:15:23	 15209	 4514	3516	32	 67.85	 2	4 	0
2025-11-06 11:15:24	 15244	 4514	3516	32	 143.44	 -2	4 	0
2025-11-06 11:15:25	 15279	 4514	3516	32	 143.44	 -3	1 	0
2025-11-06 11:15:26	 15314	 4514	3516	32	 168.05	 -4	1 	0
2025-11-06 11:15:27	 15349	 4514	3516	32	 117.07	 -3	3 	0
2025-11-06 11:15:28	 15384	 4514	3516	32	 111.80	 -1	1 	0
2025-11-06 11:15:30	 15443	 4514	3516	32	 76.64	 -1	-3 	0
2025-11-06 11:15:31	 15478	 4514	3516	32	 76.64	 -1	-1 	0
2025-11-06 11:15:32	 15513	 4514	3516	32	 123.93	 0	-2 	0
2025-11-06 11:15:33	 15548	 4514	3516	32	 91.76	 0	-1 	0
2025-11-06 11:15:55	 16343	 4514	3516	32	 80.24	 -1	-1 	0
2025-11-06 11:15:56	 16378	 4514	3516	32	 172.97	 0	-1 	0
2025-11-06 11:16:02	 16582	 4514	3516	32	 169.45	 0	-1 	0
2025-11-06 11:16:03	 16617	 4514	3516	32	 157.15	 -5	2 	0
2025-11-06 11:16:04	 16652	 4514	3516	32	 144.84	 -5	3 	0
2025-11-06 11:16:05	 16687	 4514	3516	32	 144.84	 -3	1 	0
2025-11-06 11:16:06	 16722	 4514	3516	32	 130.78	 -1	0 	0
2025-11-06 11:16:07	 16758	 4514	3516	32	 129.02	 -1	0 	0
2025-11-06 11:16:08	 16793	 4514	3516	32	 129.02	 -2	2 	0
2025-11-06 11:16:09	 16828	 4514	3516	32	 114.96	 -1	0 	0
2025-11-06 11:16:10	 16866	 4514	3516	32	 85.08	 -1	0 	0
2025-11-06 11:16:11	 16901	 4514	3516	32	 85.08	 -1	-1 	0
2025-11-06 11:16:17	 17089	 4514	3516	32	 100.90	 -3	3 	0
2025-11-06 11:16:18	 17124	 4514	3516	32	 27.07	 5	3 	0
2025-11-06 11:16:19	 17159	 4514	3516	32	 27.07	 7	3 	0
2025-11-06 11:16:20	 17194	 4514	3516	32	 23.55	 0	0 	0
2025-11-06 11:16:26	 17428	 4514	3516	32	 198.98	 5	1 	0
2025-11-06 11:16:27	 17463	 4514	3516	32	 198.98	 0	0 	0
2025-11-06 11:17:07	 18846	 4514	3516	32	 114.96	 -4	6 	0
2025-11-06 11:17:08	 18881	 4514	3516	32	 180.00	 3	0 	0
2025-11-06 11:17:09	 18916	 4514	3516	32	 160.66	 0	0 	0
When: 2025-11-06 11:17:20 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:17:23	 19361	 4514	3516	32	 260.86	 0	6 	0
2025-11-06 11:17:24	 19396	 4514	3516	32	 332.93	 0	0 	0
2025-11-06 11:17:25	 19431	 4514	3516	32	 36.21	 -6	-5 	0
2025-11-06 11:17:26	 19466	 4514	3516	32	 36.21	 -2	-1 	0
2025-11-06 11:17:29	 19595	 4514	3516	32	 97.73	 -1	3 	0
2025-11-06 11:17:30	 19630	 4514	3516	32	 97.73	 -1	6 	0
2025-11-06 11:17:31	 19665	 4514	3516	32	 97.73	 -2	8 	0
2025-11-06 11:17:32	 19700	 4514	3516	32	 97.73	 -1	6 	0
2025-11-06 11:17:33	 19735	 4514	3516	32	 57.30	 0	-1 	0
2025-11-06 11:17:35	 19786	 4514	3516	32	 43.24	 3	3 	0
2025-11-06 11:17:36	 19821	 4514	3516	32	 43.24	 4	4 	0
2025-11-06 11:17:37	 19856	 4514	3516	32	 43.24	 4	4 	0
2025-11-06 11:17:38	 19891	 4514	3516	32	 43.24	 0	0 	0
2025-11-06 11:17:39	 19926	 4514	3516	32	 43.24	 1	0 	0
2025-11-06 11:17:41	 19990	 4514	3516	32	 334.69	 5	-3 	0
2025-11-06 11:17:42	 20025	 4514	3516	32	 32.70	 0	-1 	0
2025-11-06 11:17:43	 20081	 4514	3516	32	 32.70	 6	3 	0
2025-11-06 11:17:44	 20116	 4514	3516	32	 32.70	 1	0 	0
2025-11-06 11:17:45	 20151	 4514	3516	32	 32.70	 6	4 	0
2025-11-06 11:17:46	 20186	 4514	3516	32	 32.70	 4	2 	0
2025-11-06 11:17:47	 20221	 4514	3516	32	 32.70	 0	0 	0
When: 2025-11-06 11:18:06 Episode: 1 Map: 3
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-06 11:18:08	 20916	 4519	3545	32	 260.86	 2	13 	0
2025-11-06 11:18:09	 20951	 4541	3683	32	 260.86	 0	0 	0
2025-11-06 11:18:10	 20992	 4515	3638	32	 241.52	 -4	-6 	0
2025-11-06 11:18:11	 21027	 4389	3504	32	 211.64	 -5	-3 	0
2025-11-06 11:18:12	 21062	 4317	3413	32	 243.28	 -4	-6 	0
2025-11-06 11:18:13	 21097	 4272	3216	32	 296.02	 0	-1 	0
2025-11-06 11:18:16	 21195	 4132	3331	32	 162.42	 -7	4 	0
2025-11-06 11:18:17	 21230	 3937	3366	112	 195.82	 -4	0 	0
2025-11-06 11:18:18	 21265	 3874	3358	112	 148.36	 -1	-1 	0
2025-11-06 11:18:19	 21300	 3756	3428	112	 164.18	 -4	2 	0
2025-11-06 11:18:20	 21335	 3648	3391	103	 218.67	 -6	-5 	0
2025-11-06 11:18:21	 21371	 3495	3324	0	 162.42	 -6	1 	0
2025-11-06 11:18:22	 21406	 3240	3396	96	 188.79	 -9	0 	0
2025-11-06 11:18:23	 21441	 3125	3397	96	 134.30	 -1	-1 	0
2025-11-06 11:18:25	 21511	 3134	3448	112	 76.29	 0	2 	0
2025-11-06 11:18:26	 21546	 3142	3480	96	 353.67	 0	0 	0
2025-11-06 11:18:28	 21606	 3179	3421	112	 316.76	 0	-2 	0
2025-11-06 11:18:29	 21641	 3212	3426	112	 30.59	 2	1 	0
2025-11-06 11:18:30	 21676	 3271	3449	112	 351.91	 1	0 	0
2025-11-06 11:18:31	 21711	 3346	3443	112	 0.70	 1	-1 	0
2025-11-06 11:18:33	 21788	 3357	3449	112	 90.35	 -1	3 	0
2025-11-06 11:18:34	 21823	 3356	3688	112	 90.35	 -1	8 	13
2025-11-06 11:18:37	 21910	 2728	3031	40	 327.30	 0	-1 	15
2025-11-06 11:18:39	 21977	 2713	3006	40	 221.84	 -3	-2 	15
2025-11-06 11:18:40	 22012	 2691	2987	40	 307.97	 -1	-1 	15
2025-11-06 11:18:42	 22105	 2646	3168	20	 90.35	 -2	6 	0
2025-11-06 11:18:43	 22140	 2630	3363	0	 60.47	 -1	2 	0
2025-11-06 11:18:44	 22175	 2630	3385	0	 136.05	 -1	0 	0
2025-11-06 11:18:47	 22269	 2647	3199	0	 230.98	 -1	-5 	0
2025-11-06 11:18:48	 22304	 2547	3195	0	 136.05	 -6	4 	0
2025-11-06 11:18:49	 22339	 2410	3247	-40	 165.94	 -2	0 	0
2025-11-06 11:18:50	 22374	 2370	3247	-56	 165.94	 -5	0 	0
2025-11-06 11:18:51	 22409	 2291	3335	-64	 123.75	 -3	5 	0
2025-11-06 11:18:52	 22444	 2192	3435	-64	 239.77	 -1	-4 	0
